database_size,algorithm,avg_time_ms,avg_comparisons,success_rate
16,Linear,0.000787,8.36,1.0
16,KMP,0.021539,179.68,1.0
16,Rabin-Karp,0.078159,8.82,1.0
32,Linear,0.002712,15.12,1.0
32,KMP,0.065202,343.82,1.0
32,Rabin-Karp,0.146101,15.36,1.0
64,Linear,0.008581,36.12,1.0
64,KMP,0.204089,735.73,1.0
64,Rabin-Karp,0.393246,29.65,1.0
128,Linear,0.006598,71.09,1.0
128,KMP,0.493571,1509.78,1.0
128,Rabin-Karp,0.798797,58.6,1.0
256,Linear,0.021505,133.49,1.0
256,KMP,0.569,2642.35,1.0
256,Rabin-Karp,1.156567,132.29,1.0
