N,qubits,linear_ms,linear_cmp,kmp_ms,kmp_cmp,rk_ms,rk_cmp,quantum_queries,speedup_ratio,quantum_prob
8,3,0.0018,8,0.0202,81,0.0384,8,2,4.0,94.53
16,4,0.0024,16,0.0503,165,0.1072,16,3,5.33,96.13
32,5,0.005,32,0.0827,343,0.1926,32,4,8.0,99.92
64,6,0.0072,64,0.1976,691,0.3775,64,6,10.67,99.66
128,7,0.0148,128,0.446,1415,1.1311,128,8,16.0,99.56
256,8,0.0266,222,0.7201,2469,1.3111,222,12,21.33,99.99
512,9,0.0153,222,0.4417,2469,0.9536,222,17,30.12,99.94
1024,10,0.0149,222,0.3417,2469,0.639,222,25,40.96,99.95
2048,11,0.0129,222,0.3884,2469,0.6968,222,35,58.51,100.0
4096,12,0.0101,222,0.3188,2469,0.5813,222,50,81.92,99.99
16384,14,0.0107,222,0.3142,2469,0.5695,222,100,163.84,100.0
65536,16,0.0123,222,0.365,2469,0.6847,222,201,326.05,100.0
262144,18,0.012,222,N/A,N/A,N/A,N/A,402,652.1,100.0
1048576,20,0.0356,222,N/A,N/A,N/A,N/A,804,1304.2,100.0
